run_id,skew,row_bytes,cores,exec_mem,partitions,aqe,codec,rep,wall_seconds,actual_size_skew,actual_time_skew,aqe_read_coalesced,aqe_read_skewed,aqe_split_detected,aqe_updates,cpu_ms_total,delta_ctxt,delta_pgpgout_kb,delta_psi_cpu_some_us,delta_psi_io_full_us,delta_psi_mem_full_us,dirty_bg_threshold_pages,dirty_threshold_pages,dropped_caches,error,fetch_wait_ms_total,gc_ms_max_task,gc_ms_total,input,n_reduce_tasks,n_samples,n_tasks_total,peak_dirty_kb,peak_exec_mem_max,peak_nr_dirty_pages,peak_procs_blocked,peak_writeback_kb,peak_writeback_pages,record_skew,reduce_stage_id,remote_to_disk_total,run_dir,run_ms_total,shuffle_compress,skew_mode,smj_skew,spill_disk_max_task,spill_disk_total,spill_mem_total,sr_bytes_max,sr_bytes_median,sr_records_max,tag,task_ms_max,task_ms_p50,task_ms_p90,task_ms_p99,task_ms_sum,vm_dirty_background_ratio,vm_dirty_ratio,workload
s5_byt64_rb256_c4_m1500m_p200_aqe0_sort_rep1,64.0,256,4,1500m,200,False,lz4,1,50.647,62.932157005834405,133.37110481586402,False,False,False,0,59120,558564,8822800,94516,5516915,1,635671,1275242,True,,0,13,130,/data/spark-skew-data/skew64_rb256_p200_g8,200,237,290,2464248,746584816,616062,4,15832,3958,1.0,2,0,/home/ubuntu/spark-skew/results/s5/s5_byt64_rb256_c4_m1500m_p200_aqe0_sort_rep1_d43fd4,59346,True,byte,False,1875258857,1875258857,2206199696,1944047992,30891170.5,8408141,s5,23540,176.5,219,465,60047,4,8,sort
s5_byt64_rb256_c4_m1500m_p200_aqe0_sort_rep1,64.0,256,4,1500m,200,False,lz4,1,52.168,62.932157005834405,139.5,False,False,False,0,61855,473559,7912452,90431,5682683,0,1594792,3193483,True,,0,32,182,/data/spark-skew-data/skew64_rb256_p200_g8,200,243,290,6108936,746584816,1527234,2,16384,4096,1.0,2,0,/home/ubuntu/spark-skew/results/s5/s5_byt64_rb256_c4_m1500m_p200_aqe0_sort_rep1_ff2f0d,62152,True,byte,False,1875258857,1875258857,2206199696,1944047992,30891170.5,8408141,s5,25389,182.0,225,485,62897,10,20,sort
s5_byt64_rb256_c4_m1500m_p200_aqe0_sort_rep2,64.0,256,4,1500m,200,False,lz4,2,50.567,62.932157005834405,134.61408450704226,False,False,False,0,59345,523463,8814540,106561,5439213,0,635308,1274514,True,,0,12,272,/data/spark-skew-data/skew64_rb256_p200_g8,200,235,290,2487764,746584816,621941,4,15192,3581,1.0,2,0,/home/ubuntu/spark-skew/results/s5/s5_byt64_rb256_c4_m1500m_p200_aqe0_sort_rep2_4369aa,59720,True,byte,False,1875258857,1875258857,2206199696,1944047992,30891170.5,8408141,s5,23894,177.5,219,470,60468,4,8,sort
s5_byt64_rb256_c4_m1500m_p200_aqe0_sort_rep2,64.0,256,4,1500m,200,False,lz4,2,50.467,62.932157005834405,132.76666666666668,False,False,False,0,60174,492971,7912836,90463,5233773,0,1594590,3193080,True,,0,19,303,/data/spark-skew-data/skew64_rb256_p200_g8,200,235,290,6124920,746584816,1530787,3,16468,4117,1.0,2,0,/home/ubuntu/spark-skew/results/s5/s5_byt64_rb256_c4_m1500m_p200_aqe0_sort_rep2_dea67d,60581,True,byte,False,1875258857,1875258857,2206199696,1944047992,30891170.5,8408141,s5,23898,180.0,228,482,61331,10,20,sort
s5_byt64_rb256_c4_m1500m_p200_aqe0_sort_rep2,64.0,256,4,1500m,200,False,lz4,2,50.417,62.932157005834405,132.58356940509915,False,False,False,0,58891,605883,9988208,99492,4611374,0,155942,315783,True,,0,18,312,/data/spark-skew-data/skew64_rb256_p200_g8,200,235,290,596432,746584816,149108,4,14484,3621,1.0,2,0,/home/ubuntu/spark-skew/results/s5/s5_byt64_rb256_c4_m1500m_p200_aqe0_sort_rep2_ef1503,59311,True,byte,False,1875258857,1875258857,2206199696,1944047992,30891170.5,8408141,s5,23401,176.5,219,480,60068,1,2,sort
s5_byt8_rb256_c4_m1500m_p200_aqe0_sort_rep0,8.0,256,4,1500m,200,False,lz4,0,31.978,7.788809740661393,12.223175965665236,False,False,False,0,49574,445985,5984408,81300,4759797,0,1591383,3186657,True,,0,9,112,/data/spark-skew-data/skew8_rb256_p200_g8,200,161,276,6099580,201326240,1524895,3,13176,3294,1.0,2,0,/home/ubuntu/spark-skew/results/s5/s5_byt8_rb256_c4_m1500m_p200_aqe0_sort_rep0_9b25ab,49812,True,byte,False,150311649,150311649,176160432,305680589,39246123.5,1320115,s5,2848,233.0,284,503,50537,10,20,sort
s5_byt8_rb256_c4_m1500m_p200_aqe0_sort_rep0,8.0,256,4,1500m,200,False,lz4,0,32.917,7.788809740661393,12.649462365591399,False,False,False,0,49872,500043,6904636,82304,5061271,0,635747,1275395,True,,0,13,137,/data/spark-skew-data/skew8_rb256_p200_g8,200,165,276,2412988,209714832,603247,4,14144,3536,1.0,2,0,/home/ubuntu/spark-skew/results/s5/s5_byt8_rb256_c4_m1500m_p200_aqe0_sort_rep0_b6bd4d,50124,True,byte,False,143179291,143179291,167771840,305680589,39246123.5,1320115,s5,2941,232.5,288,516,50846,4,8,sort
s5_byt8_rb256_c4_m1500m_p200_aqe0_sort_rep0,8.0,256,4,1500m,200,False,lz4,0,32.495,7.788809740661393,11.991266375545852,False,False,False,0,49106,543318,8665004,97914,4602848,0,155936,315771,True,,0,9,92,/data/spark-skew-data/skew8_rb256_p200_g8,200,163,276,594024,201326240,148506,4,11776,2944,1.0,2,0,/home/ubuntu/spark-skew/results/s5/s5_byt8_rb256_c4_m1500m_p200_aqe0_sort_rep0_e14a36,49343,True,byte,False,150311649,150311649,176160432,305680589,39246123.5,1320115,s5,2746,229.0,281,518,50036,1,2,sort
s5_byt8_rb256_c4_m1500m_p200_aqe0_sort_rep1,8.0,256,4,1500m,200,False,lz4,1,32.63,7.788809740661393,11.995762711864407,False,False,False,0,49945,533607,6904796,92603,4842738,0,635495,1274889,True,,0,13,259,/data/spark-skew-data/skew8_rb256_p200_g8,200,165,276,2439824,209714832,609956,5,12928,3232,1.0,2,0,/home/ubuntu/spark-skew/results/s5/s5_byt8_rb256_c4_m1500m_p200_aqe0_sort_rep1_50eec8,50320,True,byte,False,143179291,143179291,167771840,305680589,39246123.5,1320115,s5,2831,236.0,288,527,51067,4,8,sort
s5_byt8_rb256_c4_m1500m_p200_aqe0_sort_rep1,8.0,256,4,1500m,200,False,lz4,1,32.435,7.788809740661393,11.840860215053764,False,False,False,0,49120,579659,8436792,92696,4463813,0,156023,315948,True,,0,12,291,/data/spark-skew-data/skew8_rb256_p200_g8,200,163,276,600180,201326240,150045,3,16384,2925,1.0,2,0,/home/ubuntu/spark-skew/results/s5/s5_byt8_rb256_c4_m1500m_p200_aqe0_sort_rep1_5821b3,49520,True,byte,False,150311649,150311649,176160432,305680589,39246123.5,1320115,s5,2753,232.5,290,532,50307,1,2,sort
s5_byt8_rb256_c4_m1500m_p200_aqe0_sort_rep1,8.0,256,4,1500m,200,False,lz4,1,31.892,7.788809740661393,11.956896551724139,False,False,False,0,49615,439508,5984356,77830,4735203,0,1595556,3195013,True,,0,15,124,/data/spark-skew-data/skew8_rb256_p200_g8,200,161,276,6087500,201326240,1521875,3,12800,3200,1.0,2,0,/home/ubuntu/spark-skew/results/s5/s5_byt8_rb256_c4_m1500m_p200_aqe0_sort_rep1_bace78,49857,True,byte,False,150311649,150311649,176160432,305680589,39246123.5,1320115,s5,2774,232.0,286,529,50557,10,20,sort
s5_byt8_rb256_c4_m1500m_p200_aqe0_sort_rep2,8.0,256,4,1500m,200,False,lz4,2,32.336,7.788809740661393,11.900862068965518,False,False,False,0,49181,513534,6905272,95988,4639340,0,635576,1275053,True,,0,8,152,/data/spark-skew-data/skew8_rb256_p200_g8,200,163,276,2428760,209714832,607190,3,15872,3968,1.0,2,0,/home/ubuntu/spark-skew/results/s5/s5_byt8_rb256_c4_m1500m_p200_aqe0_sort_rep2_2503da,49455,True,byte,False,143179291,143179291,167771840,305680589,39246123.5,1320115,s5,2761,232.0,282,522,50183,4,8,sort
s5_byt8_rb256_c4_m1500m_p200_aqe0_sort_rep2,8.0,256,4,1500m,200,False,lz4,2,33.296,7.788809740661393,11.636363636363637,False,False,False,0,51863,477906,5985712,81924,4741608,0,1595452,3194805,True,,0,12,275,/data/spark-skew-data/skew8_rb256_p200_g8,200,168,276,6090204,209714832,1522551,4,13620,3405,1.0,2,0,/home/ubuntu/spark-skew/results/s5/s5_byt8_rb256_c4_m1500m_p200_aqe0_sort_rep2_bb1a29,52293,True,byte,False,143179291,143179291,167771840,305680589,39246123.5,1320115,s5,2880,247.5,307,547,53058,10,20,sort
s5_byt8_rb256_c4_m1500m_p200_aqe0_sort_rep2,8.0,256,4,1500m,200,False,lz4,2,32.455,7.788809740661393,12.092715231788079,False,False,False,0,48712,549308,8492036,98407,4736439,0,156007,315916,True,,0,15,113,/data/spark-skew-data/skew8_rb256_p200_g8,200,163,276,601116,209714832,150381,4,13796,3258,1.0,2,0,/home/ubuntu/spark-skew/results/s5/s5_byt8_rb256_c4_m1500m_p200_aqe0_sort_rep2_bbc94d,48941,True,byte,False,143179291,143179291,167771840,305680589,39246123.5,1320115,s5,2739,226.5,282,494,49651,1,2,sort
