run_id,skew,row_bytes,cores,exec_mem,partitions,aqe,codec,rep,wall_seconds,actual_size_skew,actual_time_skew,agg_fallback_all,agg_fallback_hot,agg_fallback_reduce,agg_fallback_reduce_total,agg_op,aqe_read_coalesced,aqe_read_skewed,aqe_split_detected,aqe_updates,avg_write_mbps,cgroup_write_mbps,cgroup_written_bytes,cpu_ms_total,delta_ctxt,delta_pgpgout_kb,delta_psi_cpu_some_us,delta_psi_io_full_us,delta_psi_mem_full_us,dim_keys,dim_mb_est,dim_row_bytes,dirty_bg_threshold_pages,dirty_threshold_pages,dropped_caches,error,extra_conf,fetch_wait_ms_total,gc_ms_max_task,gc_ms_total,has_peak_mem_metric,input,io_cap_applied,io_cap_mbps,label,n_reduce_tasks,n_samples,n_tasks_total,peak_dirty_kb,peak_exec_mem_max,peak_nr_dirty_pages,peak_procs_blocked,peak_writeback_kb,peak_writeback_pages,record_skew,reduce_stage_id,remote_to_disk_total,run_dir,run_ms_total,salt,shuffle_compress,skew_mode,smj_skew,spill_disk_all_stages,spill_disk_max_task,spill_disk_total,spill_mem_total,sr_bytes_max,sr_bytes_median,sr_records_max,sw_bytes_all_stages,tag,task_ms_max,task_ms_p50,task_ms_p90,task_ms_p99,task_ms_sum,total_written_bytes,vm_dirty_background_ratio,vm_dirty_ratio,workload
s11b_byt32_rb256_c4_m1500m_p200_aqe0_join_none_rep0,32.0,256,4,1500m,200,False,lz4,0,18.058,31.43065900748787,51.83076923076923,,,,,,False,False,False,0,,,,16143,388485,1160,73480,3304637,0,10001,0.3,32,1578587,3161033,True,,,0,23,424,True,/data/spark-skew-data/skew32_rb256_p200_g4,,0,none,200,105,249,4429656,645987248,1107414,1,0,0,1.0,3,0,/home/ubuntu/spark-skew/results/s11b/s11b_byt32_rb256_c4_m1500m_p200_aqe0_join_none_rep0_d6ceaa,16692,0,True,byte,False,485250037,485250037,485250037,570424256,551425092,17544178.5,2384524,4046116967,s11b,3369,65.0,85,360,17655,4531367004,10,20,join
s11b_byt32_rb256_c4_m1500m_p200_aqe0_join_none_rep1,32.0,256,4,1500m,200,False,lz4,1,18.456,31.43065900748787,51.56521739130435,,,,,,False,False,False,0,,,,17054,381224,1160,63116,3365508,0,10001,0.3,32,1588784,3181452,True,,,0,73,771,True,/data/spark-skew-data/skew32_rb256_p200_g4,,0,none,200,107,249,4433440,645987248,1108360,2,32,8,1.0,3,0,/home/ubuntu/spark-skew/results/s11b/s11b_byt32_rb256_c4_m1500m_p200_aqe0_join_none_rep1_ea0dff,17949,0,True,byte,False,485250037,485250037,485250037,570424256,551425092,17544178.5,2384524,4046116967,s11b,3558,69.0,94,406,19009,4531367004,10,20,join
s11b_byt32_rb256_c4_m1500m_p200_aqe0_join_none_rep2,32.0,256,4,1500m,200,False,lz4,2,18.084,31.43065900748787,51.833333333333336,,,,,,False,False,False,0,,,,16548,399372,1156,65784,3414503,0,10001,0.3,32,1574408,3152667,True,,,0,23,431,True,/data/spark-skew-data/skew32_rb256_p200_g4,,0,none,200,105,249,4432600,645987248,1108150,4,4,1,1.0,3,0,/home/ubuntu/spark-skew/results/s11b/s11b_byt32_rb256_c4_m1500m_p200_aqe0_join_none_rep2_d31eb3,17184,0,True,byte,False,485250037,485250037,485250037,570424256,551425092,17544178.5,2384524,4046116967,s11b,3421,66.0,86,421,18138,4531367004,10,20,join
s11b_byt32_rb256_c4_m1500m_p200_aqe0_join_p200_rep0,32.0,256,4,1500m,200,False,lz4,0,18.276,31.43065900748787,52.27272727272727,,,,,,False,False,False,0,,,,16465,402082,1156,66465,3399624,1,10001,0.3,32,1581349,3166565,True,,,0,14,460,True,/data/spark-skew-data/skew32_rb256_p200_g4,,0,p200,200,105,249,4429648,645987248,1107412,1,0,0,1.0,3,0,/home/ubuntu/spark-skew/results/s11b/s11b_byt32_rb256_c4_m1500m_p200_aqe0_join_p200_rep0_7b7ddf,17065,0,True,byte,False,485250037,485250037,485250037,570424256,551425092,17544178.5,2384524,4046116967,s11b,3450,66.0,87,347,18027,4531367004,10,20,join
s11b_byt32_rb256_c4_m1500m_p200_aqe0_join_p200_rep1,32.0,256,4,1500m,200,False,lz4,1,18.17,31.43065900748787,51.90769230769231,,,,,,False,False,False,0,,,,16489,406477,2058640,65375,3509180,0,10001,0.3,32,1591122,3186135,True,,,0,18,351,True,/data/spark-skew-data/skew32_rb256_p200_g4,,0,p200,200,105,249,3649304,645987248,912326,2,12644,3161,1.0,3,0,/home/ubuntu/spark-skew/results/s11b/s11b_byt32_rb256_c4_m1500m_p200_aqe0_join_p200_rep1_3e6edb,16993,0,True,byte,False,485250037,485250037,485250037,570424256,551425092,17544178.5,2384524,4046116967,s11b,3374,65.0,86,421,17897,4531367004,10,20,join
s11b_byt32_rb256_c4_m1500m_p200_aqe0_join_salt_salt_rep0,32.0,256,4,1500m,200,False,lz4,0,19.742,2.882356934892034,5.88135593220339,,,,,,False,False,False,0,,,,24819,420083,1156,71192,3462445,1,10001,0.3,32,1585413,3174703,True,,,2,25,1396,True,/data/spark-skew-data/skew32_rb256_p200_g4,,0,salt,200,111,249,4101040,83951472,1025260,3,0,0,1.0,3,0,/home/ubuntu/spark-skew/results/s11b/s11b_byt32_rb256_c4_m1500m_p200_aqe0_join_salt_salt_rep0_3f81a9,26369,16,True,byte,False,0,0,0,0,52940515,18367092.0,224869,4194744407,s11b,694,118.0,212,605,27686,4194744407,10,20,join_salt
s11b_byt32_rb256_c4_m1500m_p200_aqe0_join_salt_salt_rep1,32.0,256,4,1500m,200,False,lz4,1,18.834,2.882356934892034,6.056603773584905,,,,,,False,False,False,0,,,,24062,385761,1160,66049,3444516,0,10001,0.3,32,1594043,3191985,True,,,0,12,614,True,/data/spark-skew-data/skew32_rb256_p200_g4,,0,salt,200,107,249,4103360,83951472,1025840,1,0,0,1.0,3,0,/home/ubuntu/spark-skew/results/s11b/s11b_byt32_rb256_c4_m1500m_p200_aqe0_join_salt_salt_rep1_94f32a,24824,16,True,byte,False,0,0,0,0,52940515,18367092.0,224869,4194744407,s11b,642,106.0,195,581,25887,4194744407,10,20,join_salt
s11b_byt32_rb256_c4_m1500m_p200_aqe0_join_salt_salt_rep2,32.0,256,4,1500m,200,False,lz4,2,19.374,2.882356934892034,5.816593886462882,,,,,,False,False,False,0,,,,24863,406768,1160,64605,3377831,0,10001,0.3,32,1595119,3194138,True,,,0,24,1042,True,/data/spark-skew-data/skew32_rb256_p200_g4,,0,salt,200,111,249,4103572,83951472,1025893,1,0,0,1.0,3,0,/home/ubuntu/spark-skew/results/s11b/s11b_byt32_rb256_c4_m1500m_p200_aqe0_join_salt_salt_rep2_4242f2,26044,16,True,byte,False,0,0,0,0,52940515,18367092.0,224869,4194744407,s11b,666,114.5,193,587,27244,4194744407,10,20,join_salt
s11b_byt32_rb256_c4_m1500m_p200_aqe1_join_aqe_rep0,32.0,256,4,1500m,200,True,lz4,0,15.15,1.2037445861034377,2.6555555555555554,,,,,,False,True,True,4,,,,13505,342565,1156,60500,3339502,0,10001,0.3,32,1589511,3182909,True,,,3,13,401,True,/data/spark-skew-data/skew32_rb256_p200_g4,,0,aqe,77,93,126,3954848,100728672,988712,2,4,1,1.0,5,0,/home/ubuntu/spark-skew/results/s11b/s11b_byt32_rb256_c4_m1500m_p200_aqe1_join_aqe_rep0_efa959,14071,0,True,byte,True,0,0,0,0,63560496,52802311,270972,4046116967,s11b,478,180,223,462,14542,4046116967,10,20,join
s11b_byt32_rb256_c4_m1500m_p200_aqe1_join_aqe_rep1,32.0,256,4,1500m,200,True,lz4,1,15.306,1.2037445861034377,3.318681318681319,,,,,,False,True,True,4,,,,14071,384196,1547996,65038,3443231,3,10001,0.3,32,1591234,3186360,True,,,0,24,432,True,/data/spark-skew-data/skew32_rb256_p200_g4,,0,aqe,77,93,126,3669812,100728672,917453,3,16384,4096,1.0,5,0,/home/ubuntu/spark-skew/results/s11b/s11b_byt32_rb256_c4_m1500m_p200_aqe1_join_aqe_rep1_be7562,14679,0,True,byte,True,0,0,0,0,63560496,52802311,270972,4046116967,s11b,604,182,217,598,15174,4046116967,10,20,join
