run_id,skew,row_bytes,cores,exec_mem,partitions,aqe,codec,rep,wall_seconds,actual_size_skew,actual_time_skew,aqe_read_coalesced,aqe_read_skewed,aqe_split_detected,aqe_updates,cpu_ms_total,delta_ctxt,delta_pgpgout_kb,delta_psi_cpu_some_us,delta_psi_io_full_us,delta_psi_mem_full_us,dropped_caches,error,fetch_wait_ms_total,gc_ms_max_task,gc_ms_total,input,n_reduce_tasks,n_samples,n_tasks_total,peak_dirty_kb,peak_exec_mem_max,peak_writeback_kb,record_skew,reduce_stage_id,remote_to_disk_total,run_dir,run_ms_total,shuffle_compress,skew_mode,smj_skew,spill_disk_max_task,spill_disk_total,spill_mem_total,sr_bytes_max,sr_bytes_median,sr_records_max,tag,task_ms_max,task_ms_p50,task_ms_p90,task_ms_p99,task_ms_sum,workload
s4_byt8_rb256_c4_m1500m_p200_aqe0_join_rep2,8.0,256,4,1500m,200,False,lz4,2,26.19,7.788699736560047,9.776923076923078,False,False,False,0,27472,499822,4953368,91422,4534460,1,True,,0,13,422,/data/spark-skew-data/skew8_rb256_p200_g8,200,139,280,6055676,260111952,8240,1.0,3,0,/home/ubuntu/spark-skew/results/s4/s4_byt8_rb256_c4_m1500m_p200_aqe0_join_rep2_4ae589,28034,True,byte,False,121330694,121330694,142606064,305680797,39246704.5,1320161,s4,1271,130.0,162,480,28979,join
s4_byt8_rb256_c4_m1500m_p200_aqe1_join_rep0,8.0,256,4,1500m,200,True,lz4,0,25.778,1.6509730622075862,3.8081180811808117,False,True,True,4,26967,512193,4952704,87683,4823736,2,True,,0,12,633,/data/spark-skew-data/skew8_rb256_p200_g8,200,139,280,6056792,100728672,12084,1.0,5,0,/home/ubuntu/spark-skew/results/s4/s4_byt8_rb256_c4_m1500m_p200_aqe1_join_rep0_8ac38a,27752,True,byte,True,0,0,0,64935720,39331786.5,280942,s4,516,135.5,166,507,28770,join
s4_byt8_rb256_c4_m1500m_p200_aqe1_join_rep1,8.0,256,4,1500m,200,True,lz4,1,25.249,1.6509730622075862,3.5970149253731343,False,True,True,4,26676,513341,4952912,74923,4958424,1,True,,0,12,445,/data/spark-skew-data/skew8_rb256_p200_g8,200,137,280,6158660,100728672,12276,1.0,5,0,/home/ubuntu/spark-skew/results/s4/s4_byt8_rb256_c4_m1500m_p200_aqe1_join_rep1_34731c,27249,True,byte,True,0,0,0,64935720,39331786.5,280942,s4,482,134.0,163,458,28200,join
s4_byt8_rb256_c4_m1500m_p200_aqe1_join_rep2,8.0,256,4,1500m,200,True,lz4,2,25.63,1.6509730622075862,4.015037593984962,False,True,True,4,26880,484191,4953216,98946,5038627,1,True,,0,15,328,/data/spark-skew-data/skew8_rb256_p200_g8,200,137,280,6075148,100728672,13716,1.0,5,0,/home/ubuntu/spark-skew/results/s4/s4_byt8_rb256_c4_m1500m_p200_aqe1_join_rep2_e6828f,27317,True,byte,True,0,0,0,64935720,39331786.5,280942,s4,534,133.0,168,513,28240,join
s4_rec16_rb64_c4_m1500m_p200_aqe0_join_rep0,1.0,64,4,1500m,200,False,lz4,0,20.129,1.4370268773473216,3.6216216216216215,False,False,False,0,14309,468044,2054676,90719,3965559,1,True,,0,15,280,/data/spark-skew-data/rec16_rb64_cb2048_p200_g8,200,113,311,6014080,92340080,8192,16.0,3,0,/home/ubuntu/spark-skew/results/s4/s4_rec16_rb64_c4_m1500m_p200_aqe0_join_rep0_3a2071,14702,True,record,False,0,0,0,57877826,40276091.5,331571,s4,268,74.0,90,259,15624,join
s4_rec16_rb64_c4_m1500m_p200_aqe0_join_rep1,1.0,64,4,1500m,200,False,lz4,1,20.315,1.4370268773473216,3.578231292517007,False,False,False,0,14444,456744,2132996,93419,3781193,0,True,,0,13,299,/data/spark-skew-data/rec16_rb64_cb2048_p200_g8,200,116,311,6053216,92340080,9736,16.0,3,0,/home/ubuntu/spark-skew/results/s4/s4_rec16_rb64_c4_m1500m_p200_aqe0_join_rep1_1377cb,14847,True,record,False,0,0,0,57877826,40276091.5,331571,s4,263,73.5,94,260,15797,join
s4_rec16_rb64_c4_m1500m_p200_aqe0_join_rep2,1.0,64,4,1500m,200,False,lz4,2,20.59,1.4370268773473216,3.9315068493150687,False,False,False,0,14569,461980,1896224,94419,3952879,0,True,,2,15,309,/data/spark-skew-data/rec16_rb64_cb2048_p200_g8,200,115,311,6061376,92340080,8192,16.0,3,0,/home/ubuntu/spark-skew/results/s4/s4_rec16_rb64_c4_m1500m_p200_aqe0_join_rep2_1919df,15018,True,record,False,0,0,0,57877826,40276091.5,331571,s4,287,73.0,97,283,15971,join
s4_rec16_rb64_c4_m1500m_p200_aqe1_join_rep0,1.0,64,4,1500m,200,True,lz4,0,20.314,1.5169616931585612,3.825503355704698,True,False,False,4,14454,451746,1896468,84567,3835031,0,True,,0,14,298,/data/spark-skew-data/rec16_rb64_cb2048_p200_g8,198,115,309,6065296,92340080,8192,16.0,5,0,/home/ubuntu/spark-skew/results/s4/s4_rec16_rb64_c4_m1500m_p200_aqe1_join_rep0_bbd1c1,14863,True,record,False,0,0,0,61426590,40493171.5,331571,s4,285,74.5,93,279,15845,join
s4_rec16_rb64_c4_m1500m_p200_aqe1_join_rep1,1.0,64,4,1500m,200,True,lz4,1,20.274,1.5169616931585612,3.4657534246575343,True,False,False,4,14278,460441,1896456,89407,3755540,0,True,,0,13,347,/data/spark-skew-data/rec16_rb64_cb2048_p200_g8,198,115,309,6019620,92340080,8936,16.0,5,0,/home/ubuntu/spark-skew/results/s4/s4_rec16_rb64_c4_m1500m_p200_aqe1_join_rep1_8083bb,14733,True,record,False,0,0,0,61426590,40493171.5,331571,s4,253,73.0,96,252,15693,join
s4_rec16_rb64_c4_m1500m_p200_aqe1_join_rep2,1.0,64,4,1500m,200,True,lz4,2,20.298,1.5169616931585612,3.7986577181208054,True,False,False,4,14408,466699,1896432,87730,3718079,1,True,,0,11,298,/data/spark-skew-data/rec16_rb64_cb2048_p200_g8,198,115,309,6032216,92340080,15712,16.0,5,0,/home/ubuntu/spark-skew/results/s4/s4_rec16_rb64_c4_m1500m_p200_aqe1_join_rep2_1cf2b6,14838,True,record,False,0,0,0,61426590,40493171.5,331571,s4,283,74.5,90,265,15828,join
